Date,Temperature_2m,Relative_Humidity_2m,Precipitation
2019-01-01,28.19,77.46,0.11
2019-01-02,28.23,79.46,0.08
2019-01-03,28.16,80.19,0.08
2019-01-04,28.64,74.7,0.3
2019-01-05,28.21,69.64,0.07
2019-01-06,27.79,79.88,0.32
2019-01-07,27.48,77.11,1.32
2019-01-08,27.84,77.69,0.16
2019-01-09,27.56,77.74,0.26
2019-01-10,27.87,79.69,0.27
2019-01-11,27.83,79.6,0.15
2019-01-12,28.05,79.93,0.16
2019-01-13,28.07,83.15,0.1
2019-01-14,27.94,83.46,0.21
2019-01-15,28.18,82.36,0.15
2019-01-16,28.27,81.65,1.98
2019-01-17,27.53,84.98,2.09
2019-01-18,27.62,81.62,0.65
2019-01-19,27.91,81.81,1.34
2019-01-20,27.98,82.51,2.37
2019-01-21,28.48,78.67,0.4
2019-01-22,28.11,78.91,0.54
2019-01-23,28.06,80.51,0.25
2019-01-24,27.63,81.46,1.29
2019-01-25,28.12,77.95,0.41
2019-01-26,28.07,79.57,6.27
2019-01-27,27.46,81.26,1.23
2019-01-28,27.51,79.7,6.81
2019-01-29,28.06,80.82,1.39
2019-01-30,27.91,81.7,5.82
2019-01-31,27.72,82.34,2.3
2019-02-01,27.84,83.28,2.89
2019-02-02,27.52,86.59,20.5
2019-02-03,27.79,80.57,0.73
2019-02-04,27.99,83.29,1.22
2019-02-05,27.79,85.92,5.26
2019-02-06,28.43,80.32,2.04
2019-02-07,28.32,81.58,4.22
2019-02-08,28.25,80.45,3.11
2019-02-09,28.47,78.42,1.38
2019-02-10,28.7,79.93,0.14
2019-02-11,28.99,78.82,0.18
2019-02-12,28.55,81.29,0.03
2019-02-13,28.29,80.9,0.04
2019-02-14,28.31,80.34,0.12
2019-02-15,28.67,79.13,1.46
2019-02-16,28.38,81.38,1.0
2019-02-17,28.53,81.05,0.41
2019-02-18,28.38,81.08,1.78
2019-02-19,28.09,82.55,3.5
2019-02-20,27.84,81.47,1.03
2019-02-21,28.1,81.93,1.18
2019-02-22,28.42,83.69,1.34
2019-02-23,28.25,85.43,1.18
2019-02-24,28.65,81.29,1.55
2019-02-25,28.07,83.58,5.39
2019-02-26,28.37,79.13,6.93
2019-02-27,28.56,77.85,5.98
2019-02-28,27.78,81.77,6.6
2019-03-01,28.04,76.87,6.3
2019-03-02,27.22,80.39,3.89
2019-03-03,27.99,78.71,1.55
2019-03-04,27.9,82.83,3.32
2019-03-05,28.35,81.73,5.0
2019-03-06,28.22,85.86,12.94
2019-03-07,28.08,83.0,2.59
2019-03-08,28.06,82.53,5.08
2019-03-09,28.23,79.63,5.81
2019-03-10,27.94,82.39,5.37
2019-03-11,28.07,83.17,4.43
2019-03-12,28.49,83.94,3.58
2019-03-13,28.6,82.93,5.91
2019-03-14,28.42,82.52,4.6
2019-03-15,28.55,82.99,5.14
2019-03-16,28.49,82.29,4.74
2019-03-17,28.45,79.44,3.92
2019-03-18,28.37,81.26,3.19
2019-03-19,28.47,83.44,6.45
2019-03-20,28.17,84.85,6.7
2019-03-21,27.88,82.56,8.49
2019-03-22,28.12,78.56,2.89
2019-03-23,27.92,80.96,1.51
2019-03-24,27.94,82.63,3.17
2019-03-25,27.91,79.05,2.81
2019-03-26,28.31,78.82,0.08
2019-03-27,28.53,81.54,1.31
2019-03-28,28.49,84.31,2.54
2019-03-29,28.73,84.17,1.97
2019-03-30,28.45,84.18,5.12
2019-03-31,28.5,83.72,2.81
2019-04-01,28.91,79.23,3.84
2019-04-02,28.45,83.99,3.14
2019-04-03,28.82,82.58,5.1
2019-04-04,28.32,86.46,18.06
2019-04-05,28.29,85.62,10.96
2019-04-06,28.36,85.96,3.99
2019-04-07,28.25,86.69,5.35
2019-04-08,27.89,84.45,4.37
2019-04-09,28.03,84.68,3.96
2019-04-10,27.85,87.67,6.28
2019-04-11,27.18,87.89,10.23
2019-04-12,27.42,85.18,1.78
2019-04-13,27.29,86.98,9.06
2019-04-14,27.17,83.69,7.02
2019-04-15,27.54,81.15,1.13
2019-04-16,28.26,82.01,1.79
2019-04-17,28.22,83.58,0.99
2019-04-18,28.52,82.93,1.18
2019-04-19,28.26,85.41,1.71
2019-04-20,27.94,86.1,6.84
2019-04-21,28.27,82.35,1.2
2019-04-22,27.99,88.15,10.04
2019-04-23,27.29,86.75,18.23
2019-04-24,27.6,85.5,2.31
2019-04-25,27.91,86.33,4.85
2019-04-26,27.93,87.42,7.0
2019-04-27,28.17,85.95,1.03
2019-04-28,28.54,85.96,4.01
2019-04-29,28.19,88.67,12.29
2019-04-30,28.45,84.85,3.56
2019-05-01,28.19,85.42,3.36
2019-05-02,28.0,86.86,3.32
2019-05-03,27.79,86.88,11.73
2019-05-04,27.21,85.25,6.16
2019-05-05,28.0,82.12,1.11
2019-05-06,27.98,86.97,3.69
2019-05-07,28.03,87.71,13.86
2019-05-08,28.04,86.66,10.16
2019-05-09,28.12,86.13,10.32
2019-05-10,27.64,85.38,0.14
2019-05-11,27.64,87.13,6.21
2019-05-12,28.0,83.97,5.34
2019-05-13,27.8,82.57,6.33
2019-05-14,27.54,85.45,25.26
2019-05-15,27.52,77.28,18.55
2019-05-16,26.63,76.39,5.0
2019-05-17,27.31,78.89,0.71
2019-05-18,28.13,81.7,0.84
2019-05-19,28.11,83.35,2.19
2019-05-20,27.12,88.66,14.46
2019-05-21,27.16,84.99,6.67
2019-05-22,27.37,84.92,6.17
2019-05-23,27.6,85.57,6.72
2019-05-24,27.77,84.41,6.29
2019-05-25,27.11,86.2,5.43
2019-05-26,27.45,80.91,1.38
2019-05-27,27.08,87.07,5.24
2019-05-28,27.16,86.57,3.51
2019-05-29,27.38,85.84,11.95
2019-05-30,27.07,86.93,22.38
2019-05-31,26.54,91.68,14.84
2019-06-01,26.51,86.81,13.74
2019-06-02,26.96,83.56,1.3
2019-06-03,26.72,86.34,1.16
2019-06-04,26.85,87.62,6.62
2019-06-05,26.13,90.2,18.19
2019-06-06,26.27,89.45,3.03
2019-06-07,26.19,90.5,18.54
2019-06-08,26.04,89.71,5.61
2019-06-09,26.0,86.82,2.15
2019-06-10,25.78,84.98,4.1
2019-06-11,25.84,84.89,0.52
2019-06-12,25.9,85.66,0.59
2019-06-13,26.01,88.11,4.3
2019-06-14,25.62,92.05,9.62
2019-06-15,25.5,91.1,2.78
2019-06-16,25.73,90.26,0.63
2019-06-17,25.88,89.57,0.62
2019-06-18,26.2,88.9,0.3
2019-06-19,26.35,89.64,0.37
2019-06-20,26.02,90.36,6.04
2019-06-21,26.01,88.93,7.29
2019-06-22,25.85,89.79,14.32
2019-06-23,25.5,90.86,11.46
2019-06-24,25.23,90.75,12.64
2019-06-25,24.83,91.69,4.59
2019-06-26,24.94,91.97,1.5
2019-06-27,25.2,90.77,1.31
2019-06-28,25.1,90.82,1.89
2019-06-29,25.16,90.25,0.42
2019-06-30,25.5,89.43,0.6
2019-07-01,25.5,89.9,1.09
2019-07-02,26.0,89.39,1.26
2019-07-03,25.72,91.0,2.6
2019-07-04,25.55,91.49,2.86
2019-07-05,25.52,89.4,2.46
2019-07-06,25.72,88.29,2.73
2019-07-07,25.4,90.56,4.03
2019-07-08,24.95,90.28,6.17
2019-07-09,24.82,90.37,6.1
2019-07-10,24.88,89.92,1.97
2019-07-11,24.87,88.93,1.42
2019-07-12,24.58,91.93,5.86
2019-07-13,24.67,89.46,2.0
2019-07-14,24.73,87.76,0.19
2019-07-15,24.49,89.97,1.57
2019-07-16,24.55,92.06,4.86
2019-07-17,24.77,91.04,2.91
2019-07-18,24.94,90.34,3.97
2019-07-19,24.65,92.88,18.35
2019-07-20,24.64,92.93,8.44
2019-07-21,24.89,91.5,1.87
2019-07-22,24.97,90.7,1.42
2019-07-23,24.83,90.55,1.78
2019-07-24,24.77,89.24,1.32
2019-07-25,24.82,90.84,3.36
2019-07-26,24.86,91.93,24.83
2019-07-27,24.82,90.8,4.43
2019-07-28,24.71,89.65,1.49
2019-07-29,24.44,90.58,2.72
2019-07-30,24.18,92.42,1.86
2019-07-31,24.51,89.82,0.65
2019-08-01,24.33,89.79,0.53
2019-08-02,24.22,90.76,1.77
2019-08-03,24.12,90.69,0.48
2019-08-04,23.99,91.07,0.32
2019-08-05,24.02,91.34,0.52
2019-08-06,24.35,90.71,0.26
2019-08-07,24.36,90.71,0.86
2019-08-08,24.14,91.69,0.54
2019-08-09,24.0,92.36,0.59
